Code_INSEE;Code_Postal;Commune;Departement;Region;Latitude;Longitude
59416;59190;MORBECQUE;NORD;NORD-PAS-DE-CALAIS;50.67689342861573;2.536216144331492
22102;22330;LANGOURLA;COTES-D'ARMOR;BRETAGNE;48.284641107667674;-2.415501011324659
31225;31310;GOUTEVERNISSE;HAUTE-GARONNE;MIDI-PYRENEES;43.214026301449536;1.173765920286677
23025;23220;BONNAT;CREUSE;LIMOUSIN;46.32301933418213;1.913450631364578
38522;38740;VALJOUFFREY;ISERE;RHONE-ALPES;44.88153491127053;6.07950399615059
21249;21170;ESBARRES;COTE-D'OR;BOURGOGNE;47.091069454325485;5.198246639283228
62893;62930;WIMEREUX;PAS-DE-CALAIS;NORD-PAS-DE-CALAIS;50.77924978918239;1.613432313096119
60331;60590;LABOSSE;OISE;PICARDIE;49.35407816266846;1.898320236754994
62625;62770;NOYELLES-LES-HUMIERES;PAS-DE-CALAIS;NORD-PAS-DE-CALAIS;50.37542375047368;2.1773776418561592
34277;34520;SAINT-MAURICE-NAVACELLES;HERAULT;LANGUEDOC-ROUSSILLON;43.84487342385136;3.506265066900079
45149;45320;FOUCHEROLLES;LOIRET;CENTRE;48.09716912740733;3.0183707714031742
26176;26740;MARSANNE;DROME;RHONE-ALPES;44.64027308196128;4.883113725963492
51130;51330;CHARMONT;MARNE;CHAMPAGNE-ARDENNE;48.869107281123156;4.870499461015932
76592;76170;SAINT-JEAN-DE-FOLLEVILLE;SEINE-MARITIME;HAUTE-NORMANDIE;49.505056753004965;0.499483150434799
14556;14320;SAINT-ANDRE-SUR-ORNE;CALVADOS;BASSE-NORMANDIE;49.12440156254746;-0.388404822316026
61411;61360;SAINT-JOUIN-DE-BLAVOU;ORNE;BASSE-NORMANDIE;48.44868202508459;0.48233333829978703
7060;7240;CHATEAUNEUF-DE-VERNOUX;ARDECHE;RHONE-ALPES;44.92492404782045;4.642191100324167
10196;10130;LIGNIERES;AUBE;CHAMPAGNE-ARDENNE;47.95693729164738;3.96407269437861
68062;68130;CARSPACH;HAUT-RHIN;ALSACE;47.622493539829264;7.195029847951468
48076;48130;JAVOLS;LOZERE;LANGUEDOC-ROUSSILLON;44.69289041537477;3.333247943951808
50345;50200;MONTHUCHON;MANCHE;BASSE-NORMANDIE;49.08817736254658;-1.4202346383721172
3028;3120;BILLEZOIS;ALLIER;AUVERGNE;46.20948267005192;3.576882652523172
31317;31430;MARIGNAC-LASCLARES;HAUTE-GARONNE;MIDI-PYRENEES;43.30498786470456;1.106620375823203
42170;42120;PERREUX;LOIRE;RHONE-ALPES;46.04048973608429;4.144919260882025
34045;34800;CABRIERES;HERAULT;LANGUEDOC-ROUSSILLON;43.577797311213715;3.348006075625786
14437;14120;MONDEVILLE;CALVADOS;BASSE-NORMANDIE;49.16936493781647;-0.31069118741733703
56124;56140;MALESTROIT;MORBIHAN;BRETAGNE;47.80768637880935;-2.387010725805915
29132;29670;LOCQUENOLE;FINISTERE;BRETAGNE;48.623479420098995;-3.863473532675319
85289;85120;LA TARDIERE;VENDEE;PAYS DE LA LOIRE;46.663737434003956;-0.727562430214146
51422;51390;PARGNY-LES-REIMS;MARNE;CHAMPAGNE-ARDENNE;49.21913705905693;3.921807305091723
46257;46300;SAINT-CIRQ-MADELON;LOT;MIDI-PYRENEES;44.78969863807808;1.316852228380994
41058;41370;CONCRIERS;LOIR-ET-CHER;CENTRE;47.777737714384315;1.482518082874568
2366;2510;HANNAPES;AISNE;PICARDIE;49.97711581037301;3.6144264223222633
88378;88450;REGNEY;VOSGES;LORRAINE;48.2865730500126;6.307855922226566
2378;2500;LA HERIE;AISNE;PICARDIE;49.883826988153004;4.043606570518069
65264;65700;LASCAZERES;HAUTES-PYRENEES;MIDI-PYRENEES;43.49812931917787;-0.028526449309559002
2211;2190;CONDE-SUR-SUIPPE;AISNE;PICARDIE;49.41383703266813;3.944984490271521
37203;37210;ROCHECORBON;INDRE-ET-LOIRE;CENTRE;47.4295541891264;0.7609196676951501
10151;10280;FONTAINE-LES-GRES;AUBE;CHAMPAGNE-ARDENNE;48.41283519619373;3.8891051440848523
67427;67220;SAINT-MAURICE;BAS-RHIN;ALSACE;48.332920161646214;7.335272851457982
25017;25330;AMONDANS;DOUBS;FRANCHE-COMTE;47.07152928410012;6.035107687047449
2641;2340;RENNEVAL;AISNE;PICARDIE;49.73917140193729;4.036741700660738
58045;58700;LA CELLE-SUR-NIEVRE;NIEVRE;BOURGOGNE;47.21862469898568;3.202260892409714
67276;67130;LUTZELHOUSE;BAS-RHIN;ALSACE;48.53768427012003;7.24174255301525
80329;80560;FORCEVILLE;SOMME;PICARDIE;50.066008765124565;2.555441238497868
6031;6340;CANTARON;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;43.77120309985372;7.313168927283133
81024;81630;BEAUVAIS-SUR-TESCOU;TARN;MIDI-PYRENEES;43.898151982312086;1.5716034750919912
52526;52160;VILLARS-SANTENOGE;HAUTE-MARNE;CHAMPAGNE-ARDENNE;47.744268654037114;4.9991899824377395
7338;7240;VERNOUX-EN-VIVARAIS;ARDECHE;RHONE-ALPES;44.90515581676331;4.64438568730562
9169;9600;LIMBRASSAC;ARIEGE;MIDI-PYRENEES;43.01101047036936;1.843532399235547
27663;27110;LE TRONCQ;EURE;HAUTE-NORMANDIE;49.19288514543214;0.916869342267369
77128;77860;COUILLY-PONT-AUX-DAMES;SEINE-ET-MARNE;ILE-DE-FRANCE;48.88166983746127;2.8653400028622302
66071;66310;ESTAGEL;PYRENEES-ORIENTALES;LANGUEDOC-ROUSSILLON;42.76773067544313;2.707541795529761
47215;47300;PUJOLS;LOT-ET-GARONNE;AQUITAINE;44.37054109592832;0.698420769964404
1026;1380;BAGE-LE-CHATEL;AIN;RHONE-ALPES;46.30770692311769;4.928620841885369
36046;36400;LA CHATRE;INDRE;CENTRE;46.57386170611147;1.991124689056831
24028;24440;BEAUMONT-DU-PERIGORD;DORDOGNE;AQUITAINE;44.77380125798995;0.7540962933099
9124;9130;LE FOSSAT;ARIEGE;MIDI-PYRENEES;43.17969078441221;1.415063573425289
68113;68970;GUEMAR;HAUT-RHIN;ALSACE;48.194168527133314;7.414750078293217
64052;64350;ARRICAU-BORDES;PYRENEES-ATLANTIQUES;AQUITAINE;43.50190520938678;-0.14248455187543901
19118;19470;LE LONZAC;CORREZE;LIMOUSIN;45.469966322352775;1.731155034507681
2160;2340;CHAOURSE;AISNE;PICARDIE;49.70078981155206;3.985622922812507
89334;89110;SAINT-AUBIN-CHATEAU-NEUF;YONNE;BOURGOGNE;47.821447326263026;3.290483357430294
11019;11140;AUNAT;AUDE;LANGUEDOC-ROUSSILLON;42.78899329386997;2.100487274266931
40162;40090;LUCBARDEZ-ET-BARGUES;LANDES;AQUITAINE;43.97497864980727;-0.41027176308491403
46208;46600;MONTVALENT;LOT;MIDI-PYRENEES;44.87406843329873;1.6355576928643432
60538;60490;RICQUEBOURG;OISE;PICARDIE;49.560680834449826;2.758292518407658
